HCPCSCode,ShortDescriptor,StatusIndicator,PaymentRate,Changed?,Source
"00934","Anesth penis nodes removal","C",,false,"2022-07"
"00936","Anesth penis nodes removal","C",,false,"2022-07"
"00938","Anesth insert penis device","N",,false,"2022-07"
"0093A","Fee covid-19 vac 10 booster","E1",,false,"2022-07"
"0093U","Rx mntr 65 com drugs urine","Q4",,false,"2022-07"
"00940","Anesth vaginal procedures","N",,false,"2022-07"
"00942","Anesth surg on vag/urethral","N",,false,"2022-07"
"00944","Anesth vaginal hysterectomy","N",,false,"2022-07"
"00948","Anesth repair of cervix","N",,false,"2022-07"
"0094A","Adm sarscov2 50 mcg/.5 mlbst","S",40.0,true,"2022-07"
"0094U","Genome rapid sequence alys","A",,false,"2022-07"
"00950","Anesth vaginal endoscopy","N",,false,"2022-07"
"00952","Anesth hysteroscope/graph","N",,false,"2022-07"
"0095T","Rmvl artific disc addl crvcl","C",,false,"2022-07"
"0095U","Inflm ee elisa alys alg","Q4",,false,"2022-07"
"0096U","Hpv hi risk types male urine","Q4",,false,"2022-07"
"0097U","Gi pathogen 22 targets","Q4",,false,"2022-01"
"0098T","Rev artific disc addl","C",,false,"2022-07"
"0098U","Respir pathogen 14 targets","Q4",,false,"2021-01"
"0099U","Respir pathogen 20 targets","Q4",,false,"2021-01"
"0100T","Prosth retina receive&gen","E2",,true,"2022-07"
"0100U","Respir pathogen 21 targets","Q4",,false,"2021-01"
"0101A","Fee covid-19 vac 11 dose 1","E1",,false,"2022-07"
"0101T","Esw muscskel sys nos","J1",2892.28,false,"2022-07"
"0101U","Hered colon ca do 15 genes","A",,false,"2022-07"
"0102A","Fee covid-19 vac 11 dose 2","E1",,false,"2022-07"
"0102T","Esw phy anes lat hmrl epcndl","J1",2892.28,false,"2022-07"
"0102U","Hered brst ca rltd do 17 gen","A",,false,"2022-07"
"0103A","Fee covid-19 vac 11 booster","E1",,false,"2022-07"
"0103U","Hered ova ca pnl 24 genes","A",,false,"2022-07"
"0104A","Adm sarscov2 5mcg/.5ml as03b","E1",,false,"2022-07"
"0105U","Neph ckd mult eclia tum nec","Q4",,false,"2022-07"
"0106T","Touch quant sensory test","Q1",34.57,false,"2022-07"
"0106U","Gstr emptg 7 timed brth spec","Q4",,false,"2022-07"
"0107T","Vibrate quant sensory test","Q1",34.57,false,"2022-07"
"0107U","C diff tox ag detcj ia stool","Q4",,false,"2022-07"
"0108T","Cool quant sensory test","Q1",56.85,false,"2022-07"
"0108U","Gi barrett esoph 9 prtn bmrk","A",,true,"2022-07"
"0109T","Heat quant sensory test","Q1",34.57,false,"2022-07"
"0109U","Id aspergillus dna 4 species","Q4",,false,"2022-07"
"0110T","Nos quant sensory test","Q1",115.16,false,"2022-07"
"0110U","Rx mntr 1+oral onc rx&sbsts","Q4",,false,"2022-07"
"01112","Anesth bone aspirate/bx","N",,false,"2022-07"
"0111T","Rbc membranes fatty acids","A",,false,"2020-05-04"
"0111U","Onc colon ca kras&nras alys","A",,false,"2022-07"
"01120","Anesth pelvis surgery","N",,false,"2022-07"
"0112U","Iadi 16s&18s rrna genes","A",,false,"2022-07"
"01130","Anesth body cast procedure","N",,false,"2022-07"
"0113U","Onc prst8 pca3&tmprss2-erg","A",,false,"2022-07"
"01140","Anesth amputation at pelvis","C",,false,"2022-07"
"0114U","Gi barretts esoph vim&ccna1","A",,false,"2022-07"
"01150","Anesth pelvic tumor surgery","C",,false,"2022-07"
"0115U","Respir iadna 18 viral&2 bact","Q4",,false,"2022-07"
"01160","Anesth pelvis procedure","N",,false,"2022-07"
"0116U","Rx mntr nzm ia 35+oral flu","Q4",,false,"2022-07"
"01170","Anesth pelvis surgery","N",,false,"2022-07"
"01173","Anesth fx repair pelvis","N",,false,"2022-07"
"0117U","Pain mgmt 11 endogenous anal","Q4",,false,"2022-07"
"0118U","Trnsplj don-drv cll-fr dna","A",,false,"2022-07"
"0119U","Crd ceramides liq chrom plsm","Q4",,false,"2022-07"
"01200","Anesth hip joint procedure","N",,false,"2022-07"
"01202","Anesth arthroscopy of hip","N",,false,"2022-07"
"0120U","Onc b cll lymphm mrna 58 gen","A",,false,"2022-07"
"01210","Anesth hip joint surgery","N",,false,"2022-07"
"01212","Anesth hip disarticulation","C",,false,"2022-07"
"01214","Anesth hip arthroplasty","N",,false,"2022-07"
"01215","Anesth revise hip repair","N",,false,"2022-07"
"0121U","Sc dis vcam-1 whole blood","Q4",,false,"2022-07"
"01220","Anesth procedure on femur","N",,false,"2022-07"
"0122U","Sc dis p-selectin whl blood","Q4",,false,"2022-07"
"01230","Anesth surgery of femur","N",,false,"2022-07"
"01232","Anesth amputation of femur","C",,false,"2022-07"
"01234","Anesth radical femur surg","C",,false,"2022-07"
"0123U","Mchnl fragility rbc prflg","Q4",,false,"2022-07"
"0124U","Ftl cgen abnor 3 analytes","E1",,false,"2020-05-04"
"01250","Anesth upper leg surgery","N",,false,"2022-07"
"0125U","Ftl cgen abnor prnt comp 5","Q4",,false,"2020-05-04"
"01260","Anesth upper leg veins surg","N",,false,"2022-07"
"0126T","Chd risk imt study","Q1",22.99,false,"2020-05-04"
"0126U","Ftl cgen abnor prnt comp 5 y","Q4",,false,"2020-05-04"
"01270","Anesth thigh arteries surg","N",,false,"2022-07"
"01272","Anesth femoral artery surg","C",,false,"2022-07"
"01274","Anesth femoral embolectomy","C",,false,"2022-07"
"0127U","Ob pe 3 analytes","Q4",,false,"2020-05-04"
"0128U","Ob pe 3 analytes y chrmsm","Q4",,false,"2020-05-04"
"0129U","Hered brst ca rltd do panel","A",,false,"2022-07"
"0130U","Hered colon ca do mrna pnl","A",,false,"2022-07"
"0131U","Hered brst ca rltd do pnl 13","A",,false,"2022-07"
"01320","Anesth knee area surgery","N",,false,"2022-07"
"0132U","Hered ova ca rltd do pnl 17","A",,false,"2022-07"
"0133U","Hered prst8 ca rltd do 11","A",,false,"2022-07"
"01340","Anesth knee area procedure","N",,false,"2022-07"
"0134U","Hered pan ca mrna pnl 18 gen","A",,false,"2022-07"
"0135U","Hered gyn ca mrna pnl 12 gen","A",,false,"2022-07"
"01360","Anesth knee area surgery","N",,false,"2022-07"
"0136U","Atm mrna seq alys","A",,false,"2022-07"
"0137U","Palb2 mrna seq alys","A",,false,"2022-07"
"01380","Anesth knee joint procedure","N",,false,"2022-07"
"01382","Anesth dx knee arthroscopy","N",,false,"2022-07"
"0138U","Brca1 brca2 mrna seq alys","A",,false,"2022-07"
"01390","Anesth knee area procedure","N",,false,"2022-07"
"01392","Anesth knee area surgery","N",,false,"2022-07"
"0139U","Neuro austm meas 6 c metablt","Q4",,false,"2021-06"
"01400","Anesth knee joint surgery","N",,false,"2022-07"
"01402","Anesth knee arthroplasty","N",,false,"2022-07"
"01404","Anesth amputation at knee","C",,false,"2022-07"
"0140U","Nfct ds fungi dna 15 trgt","Q4",,false,"2022-07"
"0141U","Nfct ds bact&fng gram pos","Q4",,false,"2022-07"
"01420","Anesth knee joint casting","N",,false,"2022-07"
"0142U","Nfct ds bact&fng gram neg","Q4",,false,"2022-07"
"01430","Anesth knee veins surgery","N",,false,"2022-07"
"01432","Anesth knee vessel surg","N",,false,"2022-07"
"0143U","Drug assay 120+ rx/metablt","Q4",,false,"2022-07"
"01440","Anesth knee arteries surg","N",,false,"2022-07"
"01442","Anesth knee artery surg","C",,false,"2022-07"
"01444","Anesth knee artery repair","C",,false,"2022-07"
"0144U","Drug assay 160+ rx/metablt","Q4",,false,"2022-07"
"0145U","Drug assay 65+ rx/metablt","Q4",,false,"2022-07"
"01462","Anesth lower leg procedure","N",,false,"2022-07"
"01464","Anesth ankle/ft arthroscopy","N",,false,"2022-07"
"0146U","Drug assay 80+ rx/metablt","Q4",,false,"2022-07"
"01470","Anesth lower leg surgery","N",,false,"2022-07"
"01472","Anesth achilles tendon surg","N",,false,"2022-07"
"01474","Anesth lower leg surgery","N",,false,"2022-07"
"0147U","Drug assay 85+ rx/metablt","Q4",,false,"2022-07"
"01480","Anesth lower leg bone surg","N",,false,"2022-07"
"01482","Anesth radical leg surgery","N",,false,"2022-07"
"01484","Anesth lower leg revision","N",,false,"2022-07"
"01486","Anesth ankle replacement","N",,false,"2022-07"
"0148U","Drug assay 100+ rx/metablt","Q4",,false,"2022-07"
"01490","Anesth lower leg casting","N",,false,"2022-07"
"0149U","Drug assay 60+ rx/metablt","Q4",,false,"2022-07"
"01500","Anesth leg arteries surg","N",,false,"2022-07"
"01502","Anesth lwr leg embolectomy","C",,false,"2022-07"
"0150U","Drug assay 120+ rx/metablt","Q4",,false,"2022-07"
"0151U","Nfct bct/vir resp nfctj 33","Q4",,false,"2022-01"
"01520","Anesth lower leg vein surg","N",,false,"2022-07"
"01522","Anesth lower leg vein surg","N",,false,"2022-07"
"0152U","Nfct ds dna untrgt ngnrj seq","Q4",,false,"2022-07"
"0153U","Onc breast mrna 101 genes","A",,false,"2022-07"
"0154U","Onc urthl ca rna fgfr3 gene","A",,false,"2022-07"
"0155U","Onc brst ca dna pik3ca gene","A",,false,"2022-07"
"0156U","Copy number sequence alys","A",,false,"2022-07"
